日期,講員,主題,視頻/錄音.video,視頻/錄音
04/29/26,歐陽貫宗牧師,安息日的安息,https://vimeo.com/1187891973/d0a97fdbc0,
04/22/26,閱讀週,,,
04/15/26,賴可中教授,神僕的心志與能力,https://vimeo.com/1183531874/bcbebaec1c?,
04/08/26,池峈鋒教授,神在地獄嗎?,,
04/01/26,周芷芸會長,轉化中的同行、差遣中的服事,https://vimeo.com/1180513966/d49df35c00?,
03/25/26,陳聲洋老師,為何讀神學,https://vimeo.com/1177426514/1e1a190d71,
03/18/26,學院職員團隊,見證分享,,
03/11/26,期中考週,,,
03/04/26,林良材長老,忠心有見識的僕人,https://vimeo.com/1170449154/b58b22996c,
02/25/26,王志希博士,當非人類說話：亦蛇亦驢的AI,https://vimeo.com/1168652104/f64c43228b,
02/18/26,陳光牧師,我心切慕祢,https://vimeo.com/1166430511/d5737b5803,
02/11/26,教會實習分享 (同學) :丁磊、劉保勝、陰波,,,
02/04/26,張文龍牧師,祢想我為祢做甚麼？,https://vimeo.com/1161969961/371f18d46f?,
01/28/26,毛樂祈 (海外校園機構總編輯),寫報告的藝術,https://vimeo.com/1159440884/c387df43c2?,
01/21/26,蔡明謀院長,教會所期盼的牧者,https://vimeo.com/user10090028/1st,
