日期,講員,主題,視頻/錄音.video
11/30/22,Ben Hoskins,差遣我,https://vimeo.com/778341529/171d51346c
11/09/22,高嘉文牧師,追求教會的合一,https://vimeo.com/769549241/792eb96450
11/02/22,符濟珍博士,教會如何牧養同性戀群體及其家人,https://vimeo.com/767098492/aac51a5361
10/26/22,單檢長老,如何面对压力,https://vimeo.com/764333871/ce20c28197
10/19/22,"Adam Harwood, Ph.D.",Doctrines as Diamonds,https://vimeo.com/762056462/2430cdcc2d
10/05/22, 陳祖幸牧師,从孤独、沮丧、绝望中重新得力,https://vimeo.com/757360715/9041099acb
09/28/22,CWTS 師母小組,CWTS 師母小組,https://vimeo.com/754915433/74aec0b895
09/21/22,潘智翔牧師, 以利亞的軟弱和重建,https://vimeo.com/752324669/659b02328d
09/14/22,汪媽媽,誰是我的鄰居,https://vimeo.com/750093198/848f91aee8
09/07/22,Dr. Gary Tuck,Knowing God,https://vimeo.com/747439968/f2d7eecacd
08/31/22,陳炳中牧師,教會 1.5 Generation 事工,https://vimeo.com/745948679/c2f51a3169
08/24/22,蔡明謀 院長,開學勸勉 (聖餐),https://vimeo.com/742868820/6244ebdbc9
08/20/22,葉耿齊牧師,神的恩典夠我用 (午堂),https://vimeo.com/744305785/5edd73e080
08/20/22,葉耿齊牧師,耶穌的早餐會  (早堂),https://vimeo.com/744305343/f1784732b9
