日期,講員,崇拜/工作坊,主題
2/21/2024,陳祥康牧師,崇拜 (三),我要舉目 (Lift up my eyes) 詩篇121:1-2
2/28/2024,金鉞傳道,工作坊 (三),長輩事工
3/6/2024,曾祥新牧師,崇拜 (四),
3/13/2024,期中考週,週會暫停,
3/20/2024,佘亞弘牧師,工作坊 (四),領導學
3/27/2024,歐雨虹教授,崇拜 (五),
4/3/2024,侯雷牧師,工作坊 (五),植堂經驗
4/10/2024,賴可中牧師,崇拜 (六),
4/17/2024,閱讀週，受難節,週會暫停,
4/24/2024,Pastor James Westbrook,工作坊 (六),跨文化
5/1/2024,池峈鋒教授,崇拜 (七),
