日期,講員,主題,視頻/錄音.video,視頻/錄音
10/18/23,李光陵牧師,屬靈表象行事的原則,https://vimeo.com/876447740/251da23a1b?share=copy,
10/09-14,期中考週    (本週無週會),,,
10/04/23,呂紹昌牧師,基督工人的建造,https://vimeo.com/871235568?share=copy,
09/27/23,劉彤牧師,多元化宣教事工,https://vimeo.com/869263501/9d8b325cb2?share=copy,
09/20/23,陳道明牧師,為要多得人,https://vimeo.com/866840796/1f2fd39e39?share=copy,
09/13/23,Derek Chinn,Reminders for Ministers from the Pastoral Leadership,https://vimeo.com/865705065/91875857cb?share=copy,
09/06/23,吳羅瑜教授,世代雜感,https://vimeo.com/865704752/b26d7e6428?share=copy,
08/30/23,學生分享,學生分享,https://vimeo.com/865704573/d5a2f4ebca?share=copy,
